uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,tagID,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,bloodSampleID,bloodSampleMethod,fecalSampleID,fecalSampleCondition,earSampleID,hairSampleID,hairSampleContents,voucherSampleID,measuredBy,recordedBy,remarks
4425e046-ab6f-47de-937f-10a680756734,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,D7,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
be17dd33-8a41-4f66-adeb-37f57b4326e3,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,D8,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
79aaae61-b40f-4062-bd23-81dd3dbac11c,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,D9,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
579d3625-835f-4e90-b31f-7dacab4a1deb,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,C2,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
b334e802-2c1d-4b3d-ae6b-2a7ab5c370ea,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,C1,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
f144288e-a5e2-4d58-9c8a-5e7548fa864d,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,B10,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
5f80a018-1361-4e3a-8777-f7f63e4ef029,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,C5,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
3e85bace-7d17-49b0-8c40-7f0ca78aac94,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,C6,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
8bace243-003f-4935-8f08-58c3eead28db,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,C3,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
c950bbc6-7aa2-442d-999c-e5441fce68ab,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,C4,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
